название, обьем, min_price_increment, тип, min_quantity, i.ticker, i.currency, i.figi
"Башнефть", 1, 0.5, Stock, None, BANE, RUB, BBG004S68758 
"O'Key Group SA", 10, 0.01, Stock, None, OKEY, RUB, BBG00172J7S9 
"Fix Price Group", 1, 0.1, Stock, None, FIXP, RUB, BBG00ZHCX1X2 
"Трубная Металлургическая Компания", 10, 0.02, Stock, None, TRMK, RUB, BBG004TC84Z8 
"Московская Биржа", 10, 0.01, Stock, None, MOEX, RUB, BBG004730JJ5 
"Башнефть - привилегированные акции", 1, 0.5, Stock, None, BANEP, RUB, BBG004S686N0 
"РУСАЛ", 10, 0.005, Stock, None, RUAL, RUB, BBG008F2T3T2 
"Таттелеком", 10000, 0.0005, Stock, None, TTLK, RUB, BBG000RJL816 
"МРСК Урала", 10000, 0.0002, Stock, None, MRKU, RUB, BBG000VKG4R5 
"Норильский никель", 1, 2, Stock, None, GMKN, RUB, BBG004731489 
"МРСК Северо-Запада", 10000, 0.00005, Stock, None, MRKZ, RUB, BBG000TJ6F42 
"ТГК-2", 1000000, 0.000005, Stock, None, TGKB, RUB, BBG000Q7GG57 
"ПАО «КАЗАНЬОРГСИНТЕЗ»", 10, 0.1, Stock, None, KZOS, RUB, BBG0029SFXB3 
"МОЭСК", 1000, 0.0005, Stock, None, MSRS, RUB, BBG004S687G6 
"QIWI", 1, 0.5, Stock, None, QIWI, RUB, BBG005D1WCQ1 
"Корпорация ИРКУТ", 100, 0.02, Stock, None, IRKT, RUB, BBG000FWGSZ5 
"ИСКЧ", 100, 0.01, Stock, None, ISKJ, RUB, BBG000N16BP3 
"Ozon Holdings PLC", 1, 0.5, Stock, None, OZON, RUB, BBG00Y91R9T3 
"Юнипро", 1000, 0.001, Stock, None, UPRO, RUB, BBG004S686W0 
"Мечел - Привилегированные акции", 10, 0.05, Stock, None, MTLRP, RUB, BBG004S68FR6 
"ПАО «КАЗАНЬОРГСИНТЕЗ» - акции привилегированные", 10, 0.01, Stock, None, KZOSP, RUB, BBG0029SG1C1 
"Ленэнерго", 100, 0.01, Stock, None, LSNG, RUB, BBG000NLC9Z6 
"РусГидро", 1000, 0.0001, Stock, None, HYDR, RUB, BBG00475K2X9 
"Ростелеком - Привилегированные акции", 10, 0.05, Stock, None, RTKMP, RUB, BBG004S685M3 
"Yandex", 1, 0.2, Stock, None, YNDX, RUB, BBG006L8G4H1 
"АФК Система", 100, 0.001, Stock, None, AFKS, RUB, BBG004S68614 
"ТНС энерго Воронеж", 10, 0.2, Stock, None, VRSB, RUB, BBG000BX7DH0 
"Банк ВТБ", 10000, 0.000005, Stock, None, VTBR, RUB, BBG004730ZJ9 
"Селигдар - Акции привилегированные", 100, 0.05, Stock, 1, SELGP, RUB, BBG002Z693D3 
"Роснефть", 10, 0.05, Stock, None, ROSN, RUB, BBG004731354 
"Нижнекамскнефтехим", 10, 0.05, Stock, None, NKNC, RUB, BBG000GQSRR5 
"En+ Group", 1, 0.5, Stock, None, ENPG, RUB, BBG000RMWQD4 
"ЧМК", 1, 5, Stock, None, CHMK, RUB, BBG000RP8V70 
